priority,category,fineRendererKind,renderProfile,coarseCarrier,occurrences,visible,productJoinClosed,distinctAssets,distinctCohorts,domains,compiledAdapterExists,typedProgramDeclared,dxbcOccurrenceExact,dxbcFamilyRepOnly,noProgramEvidence,layoutTypedPacketClosed,layoutNamedWithinCaps,layoutNeedsCountExt,layoutUnresolved,descTypedClosed,descSourceUnpacked,descResourceOnly,observedOpcodes,vertexFactories,topAsset,topBlockers
1,SPRITE_PARTICLE / alpha_two_sided_depth_read,SPRITE_PARTICLE,alpha_two_sided_depth_read,SPRITE,946,938,599,106,57,Valtan:457|DimensionMaster:307|LanceMaster:113|Artist:58|Warlord:11,YES,4,261,399,246,4,295,332,252,4,253,646,6|13|11,fparticledynamicparametervertexfactory:462|fparticleoffsetcenterdynamicparametervertexfactory:462|fparticlesubuvdynamicparametervertexfactory:309|fparticlesubuvoffsetcenterdynamicparametervertexfactory:309,effect.valtan.carrier-v1.attack.swing.active.clip-02,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|STAGE_INPUT_SEMANTICS_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED|SAMPLER_STATE_UNPROVEN
2,MESH_PARTICLE / alpha_two_sided_depth_read,MESH_PARTICLE,alpha_two_sided_depth_read,MESH,789,789,480,108,33,Valtan:241|DimensionMaster:218|LanceMaster:215|Warlord:93|Artist:22,NO,7,252,398,128,7,114,525,128,7,402,380,8|7|3|2,flocalvertexfactory:552|fparticledynamicparametervertexfactory:61|fparticleoffsetcenterdynamicparametervertexfactory:61|fparticlesubuvdynamicparametervertexfactory:60,effect.lancemaster.skill.34150.unified,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN|STAGE_INPUT_SEMANTICS_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED
3,SPRITE_PARTICLE / additive_one_sided_depth_read,SPRITE_PARTICLE,additive_one_sided_depth_read,SPRITE,639,632,501,90,31,DimensionMaster:230|LanceMaster:194|Warlord:140|Artist:74|Valtan:1,NO,0,242,188,0,0,350,36,0,0,639,0,,fparticledynamicparametervertexfactory:210|fparticleoffsetcenterdynamicparametervertexfactory:210|fparticleoffsetcentervertexfactory:193|fparticlepointspritevertexfactory:193,effect.dimensionmaster.skill.2050540.unified,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|STAGE_INPUT_SEMANTICS_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED|SAMPLER_STATE_UNPROVEN
4,SPRITE_PARTICLE / alpha_one_sided_depth_read,SPRITE_PARTICLE,alpha_one_sided_depth_read,SPRITE,613,595,422,86,58,DimensionMaster:240|LanceMaster:137|Warlord:123|Artist:111|Valtan:2,NO,4,238,303,0,4,215,324,0,4,609,0,6|17,fparticledynamicparametervertexfactory:458|fparticleoffsetcenterdynamicparametervertexfactory:458|fparticlesubuvdynamicparametervertexfactory:360|fparticlesubuvoffsetcenterdynamicparametervertexfactory:360,effect.artist.skill.31210.ba4.unified,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|OUTPUT_TOPOLOGY_MRT_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED|SAMPLER_STATE_UNPROVEN
5,SPRITE_PARTICLE / additive_two_sided_depth_read,SPRITE_PARTICLE,additive_two_sided_depth_read,SPRITE,694,687,273,74,27,DimensionMaster:402|LanceMaster:154|Artist:68|Warlord:65|Valtan:5,NO,12,224,181,86,12,262,48,105,12,458,171,18,fparticleoffsetcentervertexfactory:216|fparticlepointspritevertexfactory:216|fparticlevertexfactory:216|fparticlesubuvoffsetcentervertexfactory:177,effect.dimensionmaster.skill.2050540,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|PRODUCT_CONSUMER_ABSENT|STAGE_INPUT_SEMANTICS_UNPROVEN|NAMED_ABI_BLOCKED
6,LEGACY_STANDALONE_SPRITE / alpha_two_sided_depth_read,LEGACY_STANDALONE_SPRITE,alpha_two_sided_depth_read,SPRITE,1106,1106,2,118,39,LanceMaster:538|Warlord:269|DimensionMaster:163|Artist:136,NO,2,299,673,132,2,258,711,135,2,5,1099,21,fparticledynamicparametervertexfactory:871|fparticleoffsetcenterdynamicparametervertexfactory:871|fparticlesubuvdynamicparametervertexfactory:686|fparticlesubuvoffsetcenterdynamicparametervertexfactory:686,effect.lancemaster.skill.34590.ba2,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|PRODUCT_CONSUMER_ABSENT|STAGE_INPUT_SEMANTICS_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED
7,STANDALONE_MESH / alpha_two_sided_depth_read,STANDALONE_MESH,alpha_two_sided_depth_read,MESH,1083,1083,1,108,21,LanceMaster:656|Warlord:265|DimensionMaster:131|Artist:27|Valtan:4,NO,0,288,721,74,0,162,844,77,0,9,1074,,flocalvertexfactory:728|fparticledynamicparametervertexfactory:210|fparticleoffsetcenterdynamicparametervertexfactory:210|fparticlesubuvdynamicparametervertexfactory:210,effect.lancemaster.skill.34590.ba3,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN|PRODUCT_CONSUMER_ABSENT|STAGE_INPUT_SEMANTICS_UNPROVEN
8,LEGACY_STANDALONE_SPRITE / additive_two_sided_depth_read,LEGACY_STANDALONE_SPRITE,additive_two_sided_depth_read,SPRITE,792,792,0,92,20,LanceMaster:417|Warlord:244|DimensionMaster:77|Artist:54,NO,0,214,372,204,0,446,95,249,0,6,786,,fparticledynamicparametervertexfactory:296|fparticleoffsetcenterdynamicparametervertexfactory:296|fparticleoffsetcentervertexfactory:258|fparticlepointspritevertexfactory:258,effect.lancemaster.skill.34570.authored-baseline,COMPILED_DRAW_DISPATCH_UNPROVEN|PRODUCT_CONSUMER_ABSENT|VERTEX_FACTORY_UNPROVEN|STAGE_INPUT_SEMANTICS_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED
9,MESH_PARTICLE / alpha_one_sided_depth_read,MESH_PARTICLE,alpha_one_sided_depth_read,MESH,174,174,83,53,12,DimensionMaster:112|LanceMaster:33|Warlord:15|Artist:12|Valtan:2,NO,14,42,117,0,14,18,141,0,14,160,0,19|1,flocalvertexfactory:79|fparticledynamicparametervertexfactory:74|fparticleoffsetcenterdynamicparametervertexfactory:74|fparticlesubuvdynamicparametervertexfactory:74,effect.dimensionmaster.skill.2050210,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN|OUTPUT_TOPOLOGY_MRT_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED
10,MESH_PARTICLE / additive_one_sided_depth_read,MESH_PARTICLE,additive_one_sided_depth_read,MESH,118,116,76,36,9,DimensionMaster:56|Warlord:32|LanceMaster:21|Artist:9,NO,2,13,94,0,2,93,14,0,2,116,0,22,flocalvertexfactory:86|fparticleoffsetcentervertexfactory:15|fparticlepointspritevertexfactory:15|fparticlevertexfactory:15,effect.dimensionmaster.skill.2050500,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED|SAMPLER_STATE_UNPROVEN
11,DECAL_PARTICLE / alpha_two_sided_depth_read,DECAL_PARTICLE,alpha_two_sided_depth_read,DECAL,81,80,72,45,0,Valtan:36|Artist:17|LanceMaster:12|Warlord:10|DimensionMaster:6,NO,0,0,0,79,0,0,0,79,0,2,78,,,effect.valtan.carrier-v1.attack.front-back-front.active.clip-01,COMPILED_DRAW_DISPATCH_UNPROVEN|NAMED_ABI_BLOCKED|SOURCE_REGISTER_BINDING_UNRESOLVED|TEXTURE_PARAMETER_TO_SLOT_UNRESOLVED|VERTEX_FACTORY_UNPROVEN
12,STANDALONE_MESH / additive_two_sided_depth_read,STANDALONE_MESH,additive_two_sided_depth_read,MESH,255,255,0,51,11,Warlord:131|LanceMaster:64|DimensionMaster:50|Artist:10,NO,0,38,148,69,0,162,24,69,0,0,255,,flocalvertexfactory:127|fparticleoffsetcentervertexfactory:46|fparticlepointspritevertexfactory:46|fparticlevertexfactory:46,effect.warlord.skill.17250.authored-baseline,COMPILED_DRAW_DISPATCH_UNPROVEN|PRODUCT_CONSUMER_ABSENT|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN|RUNTIME_PACKET_NOT_MATERIALIZED
13,MESH_PARTICLE / additive_two_sided_depth_read,MESH_PARTICLE,additive_two_sided_depth_read,MESH,103,103,26,26,15,DimensionMaster:50|Valtan:28|Warlord:13|LanceMaster:12,NO,0,25,41,26,0,51,15,26,0,46,57,,flocalvertexfactory:30|fparticleoffsetcentervertexfactory:24|fparticlepointspritevertexfactory:24|fparticlevertexfactory:24,effect.valtan.front-back-front.windup,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN|PRODUCT_CONSUMER_ABSENT|RUNTIME_PACKET_NOT_MATERIALIZED
14,AUTHORED_LEGACY_TRAIL / alpha_two_sided_depth_read,AUTHORED_LEGACY_TRAIL,alpha_two_sided_depth_read,RIBBON,10,10,6,10,1,LanceMaster:8|Warlord:1|Artist:1,NO,1,0,9,0,1,1,8,0,1,0,9,9,fparticledynamicparametervertexfactory:8|fparticleoffsetcenterdynamicparametervertexfactory:8|fparticleoffsetcentervertexfactory:1|fparticlepointspritevertexfactory:1,effect.lancemaster.skill.34010.ba1.restoration-candidate,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|COOKED_CARRIER_MISMATCH|OCCURRENCE_STATIC_PERMUTATION_NOT_EXTRACTED|OUTPUT_TOPOLOGY_MRT_UNPROVEN
15,DECAL_PARTICLE / alpha_one_sided_depth_read,DECAL_PARTICLE,alpha_one_sided_depth_read,DECAL,2,2,2,1,1,Artist:2,NO,2,0,0,0,2,0,0,0,2,0,0,14,,effect.artist.skill.31470.unified,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN
16,CASCADE_RIBBON / alpha_two_sided_depth_read,CASCADE_RIBBON,alpha_two_sided_depth_read,RIBBON,4,4,4,2,1,Artist:4,NO,1,0,3,0,1,0,3,0,1,3,0,20,fparticledynamicparametervertexfactory:3|fparticleoffsetcenterdynamicparametervertexfactory:3,effect.artist.skill.31480.unified,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|COOKED_CARRIER_MISMATCH|CURRENT_PACKET_CAPACITY_EXCEEDED|OUTPUT_TOPOLOGY_MRT_UNPROVEN
17,MESH_PARTICLE / opaque_back_depth_write,MESH_PARTICLE,opaque_back_depth_write,MESH,1,1,1,1,1,Artist:1,NO,1,0,0,0,1,0,0,0,1,0,0,1,,effect.artist.skill.31470.unified,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
