tupleCohortId,kind,occurrenceCount,productConsumed,domains,domainSpan,category,categoryMixed,programCandidateId,programKind,opcode,backend,layoutIdentityId,adapterCandidateId,adapterKind,renderProfile,runtimeVerified,descriptorExpansionEligible,sampleAsset,sampleElementId
cohort.8c3f4be7666fc2bf36fafc11d4f30af1b0f0c0fb73e8c253a055c0308713b569,NATIVE_EVIDENCE_COHORT,55,49,Artist|DimensionMaster|LanceMaster|Warlord,4,SPRITE_PARTICLE / additive_one_sided_depth_read,NO,program.80cbee3d7af2db79bcff4ce4ee3903149b3e85b1284734c8887c7820e0b6127f,DXBC_LITERAL_TRANSLATION,,,layout-evidence.224bb5c2a3af7fe1212a68d67aae246b4810f551ea286ff38aeadb9c92e4ca5a,adapter.5186f9df443b8c1f54fe69d7a5769f07a47a76f3d3fd65211d36602e8d2cdbdf,RENDER_PROFILE_STATIC_DISPATCH,additive_one_sided_depth_read,False,False,effect.lancemaster.skill.34150.unified,authored.source-particle.42050b5c11ba16eda794b96e
cohort.60033067d10ed8419a536e1cae1a3958b58e6bb4576fb7f3ee0fb1d4d05f5ca0,NATIVE_EVIDENCE_COHORT,36,36,LanceMaster,1,MESH_PARTICLE / alpha_two_sided_depth_read,NO,program.eeffeb92517ddd5d5c9b104b8ad6871c77cdcff7615261342617c911d9ccccfa,DXBC_LITERAL_TRANSLATION,,,layout-evidence.581be0920e3221d11c3558f9956ef7c2a92abfe4cc6c55624c304e58f98e72f7,adapter.4832308bce33e0b63085dd79e6c11c9b0adeceaa3febce67ab91ce3b4b475973,RENDER_PROFILE_STATIC_DISPATCH,alpha_two_sided_depth_read,False,False,effect.lancemaster.skill.34150.unified,authored.source-particle.082523fec78db3b1282dfec3
cohort.f98e1be1a766e1e97f1c510f0c13786436da9d8544612cf336aa10e6b3799fc8,NATIVE_EVIDENCE_COHORT,30,30,LanceMaster|Warlord,2,SPRITE_PARTICLE / additive_two_sided_depth_read,NO,program.80cbee3d7af2db79bcff4ce4ee3903149b3e85b1284734c8887c7820e0b6127f,DXBC_LITERAL_TRANSLATION,,,layout-evidence.224bb5c2a3af7fe1212a68d67aae246b4810f551ea286ff38aeadb9c92e4ca5a,adapter.1524a54a3943c9ad2b65df41e99404e6b5797e752cad6bdf97520c9b55490e6f,RENDER_PROFILE_STATIC_DISPATCH,additive_two_sided_depth_read,False,False,effect.lancemaster.skill.34150.unified,authored.source-particle.978850700aea6178e759ccbc
cohort.166503ceea2b53235674ec97a1d853cb0545bec617101a9bce74382f3a1b61e0,NATIVE_EVIDENCE_COHORT,29,29,Valtan,1,SPRITE_PARTICLE / alpha_two_sided_depth_read,NO,program.13cbbbc6bcb5aa37a4a718f6ff218253c4080d2a1a74322d655f7adf627c3053,DXBC_LITERAL_TRANSLATION,,,layout-evidence.325e35fb840c0a2868504061ceca6ae75b8e848463632b5971ed76762e682843,adapter.45c071f719c8e03462b8eb155e7a015d849e6ba075ad1788591fd15179db96c7,RENDER_PROFILE_STATIC_DISPATCH,alpha_two_sided_depth_read,False,False,effect.valtan.carrier-v1.attack.magic-choice.inner.clip-01,source.8f7fea503038ab68927e
cohort.cfe858367030b51fff0d6d719d7698b338fe874dab11c709e9684a74d11102cf,NATIVE_EVIDENCE_COHORT,27,27,Warlord,1,MESH_PARTICLE / alpha_two_sided_depth_read,NO,program.eb86c01a9850bbf1e45ee33c864782b98f61b9b319ce23e371a31f185de25174,DXBC_LITERAL_TRANSLATION,,,layout-evidence.f8886f1d2d0f6198703f35436d761198752439320256e2e48c1af3cff7276f24,adapter.4832308bce33e0b63085dd79e6c11c9b0adeceaa3febce67ab91ce3b4b475973,RENDER_PROFILE_STATIC_DISPATCH,alpha_two_sided_depth_read,False,False,effect.warlord.skill.17250.clip1.unified,authored.source-particle.6c70475414b39bf387f1c5bb
cohort.1e1047e53ba4505804ce4380528aeca7593bffc5578096d59ace340cbd7df39b,NATIVE_EVIDENCE_COHORT,24,24,Valtan,1,SPRITE_PARTICLE / alpha_two_sided_depth_read,NO,program.80cbee3d7af2db79bcff4ce4ee3903149b3e85b1284734c8887c7820e0b6127f,DXBC_LITERAL_TRANSLATION,,,layout-evidence.224bb5c2a3af7fe1212a68d67aae246b4810f551ea286ff38aeadb9c92e4ca5a,adapter.45c071f719c8e03462b8eb155e7a015d849e6ba075ad1788591fd15179db96c7,RENDER_PROFILE_STATIC_DISPATCH,alpha_two_sided_depth_read,False,False,effect.valtan.carrier-v1.attack.swing.active.clip-01,source.dbf1cca88dba1529d6ad
cohort.6164be028e6ff3ca965fada48a97167b923d1c58d1f61e70ed4167fd4918fd71,NATIVE_EVIDENCE_COHORT,24,24,DimensionMaster,1,SPRITE_PARTICLE / additive_one_sided_depth_read,NO,program.3a70765906c105d01347d876e9298487cb28e6206795084643335822996e627d,DXBC_LITERAL_TRANSLATION,,,layout-evidence.b9d4451c0d1fabffa079bc31b52206dda7fb27bd8779bf6438b7259bed4ff043,adapter.1cc834775c89afac9ee890b48ea86fc9ff69babc9962d5d26b88957d2a243615,RENDER_PROFILE_STATIC_DISPATCH,additive_one_sided_depth_read,False,False,effect.dimensionmaster.skill.2050540.unified,authored.source-particle.925bc265ba263e95f793133c
cohort.679a0d9723b55b64f0036c35101e0870099f975250c906465b2bcfdc45ad679f,NATIVE_EVIDENCE_COHORT,20,20,Artist|DimensionMaster|LanceMaster|Warlord,4,SPRITE_PARTICLE / additive_one_sided_depth_read,NO,program.fbb03b7d14e4e769e10746243950aec6f5f89c3b277e40102ff6ce3d4a0b60f3,DXBC_LITERAL_TRANSLATION,,,layout-evidence.6537427df92150c5b9eda632b317999a1d584adff47b8c640bbfc3f10bfc929d,adapter.5186f9df443b8c1f54fe69d7a5769f07a47a76f3d3fd65211d36602e8d2cdbdf,RENDER_PROFILE_STATIC_DISPATCH,additive_one_sided_depth_read,False,False,effect.lancemaster.skill.34150.unified,authored.source-particle.6e9c2498c9611392f6365861
cohort.340a479523fcfb0d175afa5ba4a0c8bf8931fb746364c1c91f2be1b52cf9b277,NATIVE_EVIDENCE_COHORT,20,19,LanceMaster|Valtan,2,MESH_PARTICLE / alpha_two_sided_depth_read,NO,program.a3194eaed5fa64c9b6544f69bdee689ecbc5dc1db93ead24c26a339f33523c21,DXBC_LITERAL_TRANSLATION,,,layout-evidence.4e34655b6c92824f1681dd4fbddf7d06e165f88555b337a6dc4b4378d1618511,adapter.cdd1d6578205cf5d29b2f74c99dceb6385159f496a3ba920244d860784ddc057,RENDER_PROFILE_STATIC_DISPATCH,alpha_two_sided_depth_read,False,False,effect.valtan.carrier-v1.attack.swing.active.clip-02,source.e0feacc67ab4150d90cb
cohort.af8dae8e9fa7954b74920807a854913f93183b745bd7de0336382156118665fd,NATIVE_EVIDENCE_COHORT,20,18,DimensionMaster|LanceMaster|Valtan,3,SPRITE_PARTICLE / alpha_two_sided_depth_read,NO,program.c545a56d78c140a8bbbf896d02bdb48d77d7b55b0a2ab69bbf632b1aae5aaa13,DXBC_LITERAL_TRANSLATION,,,layout-evidence.05793498e310142b4d4f5012f753da5670acc3ea5f9cfb3db3351631f97e9fe1,adapter.ba8c5893a1231d063bd6e6a238ec2493a5de4305d4b02606e06fd8b445ebd374,RENDER_PROFILE_STATIC_DISPATCH,alpha_two_sided_depth_read,False,False,effect.valtan.carrier-v1.attack.earthquake-smash.impact.clip-01,source.b00aec111b2adb27d454
cohort.80e9a912f1e5bedf331a6999669e49e043e337b55d5553530935af601541c096,NATIVE_EVIDENCE_COHORT,18,18,LanceMaster|Warlord,2,SPRITE_PARTICLE / alpha_one_sided_depth_read,NO,program.34dead82b728f69e329b00433dceaccaf042d038793e246205a3f72267cff030,DXBC_LITERAL_TRANSLATION,,,layout-evidence.aaff98679f64bf2d322ae00ad1bb73671f8446311cd58de2aef33b0525d32045,adapter.50c7c686d3c8e383a2dcb6a82e76d701a0836f12961facc6c75866eb34f1e1e5,RENDER_PROFILE_STATIC_DISPATCH,alpha_one_sided_depth_read,False,False,effect.warlord.skill.17250.clip2.unified,authored.source-particle.af6d6ddd36db91af984fb5da
cohort.812a2b3af1ecf8d85dd20842eb1fd98380201266c1ea173230ffb1b42771b60a,NATIVE_EVIDENCE_COHORT,17,17,LanceMaster,1,MESH_PARTICLE / alpha_two_sided_depth_read,NO,program.1befb0ee8feacbc08866920d4e76a3ec7fc9dce905147afc487fd3613c82ca03,DXBC_LITERAL_TRANSLATION,,,layout-evidence.b26ec474eb6d1ed306a603614aabc912f80c43c30ebd2460ddceabcca47807e9,adapter.4832308bce33e0b63085dd79e6c11c9b0adeceaa3febce67ab91ce3b4b475973,RENDER_PROFILE_STATIC_DISPATCH,alpha_two_sided_depth_read,False,False,effect.lancemaster.skill.34150.unified,authored.source-particle.ec14446ff051d9bd80ba38d6
