elementId,elementOrder,category,carrier,fineRendererKind,renderProfile,registryBound,programStatus,opcode,backend,programCandidateId,layoutStatus,layoutCandidateId,adapterStatus,adapterCandidateId,descriptorStatus,descriptorVariantId,resources,tupleCohortId,productStatus,vertexFactories,sourceParentMaterialPath,blockers
ribbon.a6fe27caa16b2630,0,AUTHORED_LEGACY_TRAIL / alpha_two_sided_depth_read,RIBBON,AUTHORED_LEGACY_TRAIL,alpha_two_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,9,runtimeMaterialV2,program.0a7376cdea9d39b020c16038944b0186a3f8c4b46e42533a872c923a9b3578c8,TYPED_PACKET_CLOSED,layout.9574509f0584666b8c577914f094ad971ddf9438752b5748fbf906cd54ebd8ea,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.433541ed2b052f827ffaad1212f94a8e9c21b18e7f8ad7c673dc044b7e082fe4,TYPED_VALUES_CLOSED,descriptor.09114adb567fcc97740e6878f682eb9cad66fa675af1ab6104a1858548707036,,cohort.9b0638c5e0d6cdeb678767a499f9dc695055fe30cf8c527f240e45f0a011a7fa,PRODUCT_JOIN_CLOSED,,fx_m_mi_02.fx_m.fx_j_maskedrib_01_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN
decal.f3b5c3b63b4a7e34,10,DECAL_PARTICLE / alpha_one_sided_depth_read,DECAL,DECAL_PARTICLE,alpha_one_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,14,localDecal,program.c7bd3750daa5a167f28e37a3daddf309c3867805538167e4e72d2431f6ca9437,TYPED_PACKET_CLOSED,layout.c23af040992aab2d82c1a920d9652e286d4fd839f81f724457437ea716765c62,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.238cf2935ebe6efe7ae9cf4081104a2d13785a90b2baa24a66b1a29bfdac588f,TYPED_VALUES_CLOSED,descriptor.1e6153385656d38cfbf79bf9f0cd935c32785df39a580d3d59fb626f819037aa,,cohort.fa4b151f48331e1b4288e91dfa741302d1f3bdca476e5816cab3ec17d541b0c1,PRODUCT_JOIN_CLOSED,,fx_m_mi_04.fx_m.fx_d_de_master_01_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN
decal.6f78bff02c657a14,11,DECAL_PARTICLE / alpha_one_sided_depth_read,DECAL,DECAL_PARTICLE,alpha_one_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,14,localDecal,program.c7bd3750daa5a167f28e37a3daddf309c3867805538167e4e72d2431f6ca9437,TYPED_PACKET_CLOSED,layout.c23af040992aab2d82c1a920d9652e286d4fd839f81f724457437ea716765c62,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.238cf2935ebe6efe7ae9cf4081104a2d13785a90b2baa24a66b1a29bfdac588f,TYPED_VALUES_CLOSED,descriptor.1e6153385656d38cfbf79bf9f0cd935c32785df39a580d3d59fb626f819037aa,,cohort.fa4b151f48331e1b4288e91dfa741302d1f3bdca476e5816cab3ec17d541b0c1,PRODUCT_JOIN_CLOSED,,fx_m_mi_04.fx_m.fx_d_de_master_01_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN
mesh.cc04feee8a36940b,1,MESH_PARTICLE / opaque_back_depth_write,MESH,MESH_PARTICLE,opaque_back_depth_write,NO,TYPED_RUNTIME_PROGRAM_DECLARED,1,runtimeMaterialV2,program.7e4181e4c45728d2dd84833be808b3ec45f37bf1b9188c8451e133bd631ba9c0,TYPED_PACKET_CLOSED,layout.a4f55196f03a3741e77796b2b72516a7c329131ae2015b25744e67ecf6694371,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.d7377b76e350222fdb0253de17ac9212ced3092b3b196d3cc04006ff9fbedad6,TYPED_VALUES_CLOSED,descriptor.645b94d4ea7d8df55d82fb20897fb9332b3833352a679aff5d783b7a61610ad1,,cohort.1776a11e5ff05ffc26aa605b12d4958d742a112168f79906177ee9c08de177ac,PRODUCT_JOIN_CLOSED,,fx_m_mi_03.fx_m.fx_o_transition_01_ma,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
mesh.827d0c725afc9c37,2,MESH_PARTICLE / alpha_one_sided_depth_read,MESH,MESH_PARTICLE,alpha_one_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,1,artistVisualV4,program.4d52ac1b64ef406edbbff544d8814910abfda0d770ceec416fa6d2385acb62d7,TYPED_PACKET_CLOSED,layout.7a45f3f56c5da9d684e952edffb6a7160c62a08887f4dac8ccf2529989a08f6a,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.a6580f83547f4e106a1d94bcb508ae706810e4accad51fc12e1388a7f8692126,TYPED_VALUES_CLOSED,descriptor.924a2c500e63fbb39d5624eaa10db7301ca98143dd2d5401c17cd7e10a08a882,,cohort.260a4e0f14b554dbae35e3b845cb665a34410e65851f95c1b298fe04fec756ee,PRODUCT_JOIN_CLOSED,,fx_m_mi_03.fx_m.fx_m_pa_missiletrail_01_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
mesh.8165115d36cd1a8a,3,MESH_PARTICLE / alpha_one_sided_depth_read,MESH,MESH_PARTICLE,alpha_one_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,1,artistVisualV4,program.4d52ac1b64ef406edbbff544d8814910abfda0d770ceec416fa6d2385acb62d7,TYPED_PACKET_CLOSED,layout.7a45f3f56c5da9d684e952edffb6a7160c62a08887f4dac8ccf2529989a08f6a,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.a6580f83547f4e106a1d94bcb508ae706810e4accad51fc12e1388a7f8692126,TYPED_VALUES_CLOSED,descriptor.924a2c500e63fbb39d5624eaa10db7301ca98143dd2d5401c17cd7e10a08a882,,cohort.260a4e0f14b554dbae35e3b845cb665a34410e65851f95c1b298fe04fec756ee,PRODUCT_JOIN_CLOSED,,fx_m_mi_03.fx_m.fx_m_pa_missiletrail_01_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
mesh.062366ee9f9655d3,4,MESH_PARTICLE / alpha_two_sided_depth_read,MESH,MESH_PARTICLE,alpha_two_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,3,runtimeMaterialV2,program.03178e042d8cdf283e73221aa031a760ab3e06dfdb174775def7d89267dbc6d1,TYPED_PACKET_CLOSED,layout.d2d7a5588252da701776cd1a8ee87b88814099db1f14a5c234a5a51c1b870e0a,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.4c75373386a766dfbb3d4d0a0a3b3caffca899aeafa0cdfa7e3fb97d74c40e6e,TYPED_VALUES_CLOSED,descriptor.d1290ee3676348130c84173ea4b6b708bc7c0f5c718bb7e582b812bbb9581761,,cohort.042409015353f1c599dd2d4900e77540e88ec69673d43b9e1eb38e9af09e0e67,PRODUCT_JOIN_CLOSED,,fx_m_mi_03.fx_m.fx_m_me_watertrail_01_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
mesh.646163c341579b56,5,MESH_PARTICLE / alpha_two_sided_depth_read,MESH,MESH_PARTICLE,alpha_two_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,8,runtimeMaterialV2,program.21af769001dafed59e297c4ddf709d9eba795b31df34db62662ff83abc9de772,TYPED_PACKET_CLOSED,layout.3d8202dc0d48dfadb7862b2ed78fdd85aa330982b819a9c0eb710c2a3c98a4d4,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.6c3e3f373ebf3ccb2430dcc6ac29b5f83cccc4718d89b77496f51a410bdef06d,TYPED_VALUES_CLOSED,descriptor.485fa3ba4c482dbaf25dc692fa8d6571a47b10a06e7b0e738545b6c0287b92e6,,cohort.ce6b6fb62244729ddb3ceb69e908b2367a0a20fda2a36e25686e90ab6e9eee41,PRODUCT_JOIN_CLOSED,,fx_m_mi_m_00.fx_m.fx_m_pa_spritewave_01_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
mesh.a502a64a218e7619,6,MESH_PARTICLE / alpha_two_sided_depth_read,MESH,MESH_PARTICLE,alpha_two_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,2,artistVisualV4,program.9722305743ce23ba86abea32578bf89d963e3d3b9bb5faca7ce8c4f53458dd40,TYPED_PACKET_CLOSED,layout.7ebae83fc0f117684b702b1a8db9355c38e2350fae6658082b49e97a3f6a33bc,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.727802eba72a6cd489e0ecddf8d04dbbce783d3f60bcb5ee6d252a3e9a4c1a4b,TYPED_VALUES_CLOSED,descriptor.225daa595483bb155c0a026cad8ab6e4408a4002b5c185cc5cbc0b3eb9becc25,,cohort.61318f1882fa69ee508e4fea125589ffa03f2d0593bb3147aa0d3d6937acd635,PRODUCT_JOIN_CLOSED,,fx_m_mi_k_00.fx_m.fx_k_me_makeflow_03_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
mesh.6ded917f52544378,7,MESH_PARTICLE / alpha_two_sided_depth_read,MESH,MESH_PARTICLE,alpha_two_sided_depth_read,NO,TYPED_RUNTIME_PROGRAM_DECLARED,7,artistVisualV4,program.bb07cebdb973666547ad6471bc1fd5f0aa45249f04d53930d4528b0f1de6ffc5,TYPED_PACKET_CLOSED,layout.8c700ad3e34aaf84dde8c2b18a5694e7bda9193a4698a74d80cd1f6b598f4eb8,TYPED_STATIC_DISPATCH_CANDIDATE,adapter.f1e82a35e129aa6aa76ab39ca98f61ac3050dbef8b43872249016684b58a1f0b,TYPED_VALUES_CLOSED,descriptor.a5980843cfed673c4e041fd32b9d681adeec46da9229f09047ea0c7442f56e89,,cohort.a10283b78b61e1d89002477faba8312e0ef5d350e05b76d85eb2145581b454b8,PRODUCT_JOIN_CLOSED,,fx_m_mi_00.fx_m.fx_d_me_flow_02_tr,COMPILED_DRAW_DISPATCH_UNPROVEN|VERTEX_FACTORY_UNPROVEN|WPO_VERTEX_PROGRAM_UNPROVEN
