category,occurrences,productJoinClosed,top3ProductAssets,recommendedCanaryAsset,recommendedCanaryElement,canaryHasTypedProgram,canaryCohort
SPRITE_PARTICLE / alpha_two_sided_depth_read,946,599,effect.valtan.carrier-v1.attack.swing.active.clip-02 (90) | effect.valtan.carrier-v1.attack.front-back-front.active.clip-01 (72) | effect.lancemaster.skill.34150.unified (27),effect.artist.skill.31470.unified,sprite.c65181324417a1a8,YES,cohort.29510c4e26f62614d5a3a8b3b0c1798745a8c3a010e1a2282d79c7c77afc80f5
SPRITE_PARTICLE / additive_one_sided_depth_read,639,501,effect.dimensionmaster.skill.2050540.unified (63) | effect.warlord.skill.17250.clip1.unified (46) | effect.lancemaster.skill.34150.unified (30),effect.artist.skill.31930.clip1.unified,authored.source-particle.e18940847bbd56c78fcf586a,NO,
MESH_PARTICLE / alpha_two_sided_depth_read,789,480,effect.lancemaster.skill.34150.unified (75) | effect.valtan.carrier-v1.attack.swing.active.clip-02 (51) | effect.valtan.carrier-v1.attack.front-back-front.active.clip-01 (28),effect.artist.skill.31470.unified,mesh.6ded917f52544378,YES,cohort.a10283b78b61e1d89002477faba8312e0ef5d350e05b76d85eb2145581b454b8
SPRITE_PARTICLE / alpha_one_sided_depth_read,613,422,effect.artist.skill.31210.ba4.unified (44) | effect.warlord.skill.17250.clip2.unified (43) | effect.warlord.skill.17250.clip1.unified (29),effect.artist.skill.31470.unified,sprite.bfa4e874bafe2a43,YES,cohort.2c31061de38b998b8d9321dfed8044a8cd472708e5c50ed034d86a7705cce5d1
SPRITE_PARTICLE / additive_two_sided_depth_read,694,273,effect.lancemaster.skill.34150.unified (48) | effect.dimensionmaster.skill.2050540.unified (26) | effect.warlord.skill.17250.clip1.unified (26),effect.artist.skill.31490.unified,authored.source-particle.763aea38ab1100ba9072dbfb,YES,cohort.69e052bd03a93b47c8b1f0f728af80b24c66bef9e8a1264c5842d954b3950cd1
MESH_PARTICLE / alpha_one_sided_depth_read,174,83,effect.dimensionmaster.skill.2050540.unified (7) | effect.lancemaster.skill.34630.clip1.unified (6) | effect.warlord.skill.17250.clip2.unified (6),effect.lancemaster.skill.34630.clip4.unified,authored.source-particle.538fe0779d0718d30b68ef11,YES,cohort.a7caaa7a95f12aa3c9cccddab788cf50dcd660f3c15bbd4ce8f763ed5b726f45
MESH_PARTICLE / additive_one_sided_depth_read,118,76,effect.warlord.skill.17250.clip1.unified (10) | effect.dimensionmaster.skill.2050500.unified (8) | effect.warlord.skill.17250.clip2.unified (6),effect.warlord.skill.17140.wpo-sinwave-v1.unified,authored.source-particle.8c0d6ab070c1a6c83479e590,YES,cohort.2a454937e269ec755e0351811d6897617dffd46d144c820b325cdc4afecbc66c
DECAL_PARTICLE / alpha_two_sided_depth_read,81,72,effect.valtan.carrier-v1.attack.front-back-front.active.clip-01 (8) | effect.artist.skill.31490.unified (8) | effect.lancemaster.skill.34110.unified (5),effect.lancemaster.skill.34630.clip1.unified,authored.source-decal.9e50eb1916a9ebfd546ac46b,NO,
MESH_PARTICLE / additive_two_sided_depth_read,103,26,effect.dimensionmaster.skill.2050540.unified (7) | effect.warlord.skill.17250.clip1.unified (6) | effect.lancemaster.skill.34630.clip1.unified (4),effect.warlord.skill.17250.clip1.unified,authored.source-particle.ae471a9040b183a430bc4cf1,NO,
AUTHORED_LEGACY_TRAIL / alpha_two_sided_depth_read,10,6,effect.lancemaster.skill.34010.ba4.unified (1) | effect.lancemaster.skill.34010.ba2.unified (1) | effect.lancemaster.skill.34010.ba1.unified (1),effect.artist.skill.31470.unified,ribbon.a6fe27caa16b2630,YES,cohort.9b0638c5e0d6cdeb678767a499f9dc695055fe30cf8c527f240e45f0a011a7fa
