tupleCohortId,kind,category,opcode,artistFElements,artistFCount,cohortOccurrences,otherOccurrences,productConsumed,domains,programCandidateId,layoutIdentityId,adapterCandidateId
cohort.ce6b6fb62244729ddb3ceb69e908b2367a0a20fda2a36e25686e90ab6e9eee41,TYPED_EXECUTION_COHORT,MESH_PARTICLE / alpha_two_sided_depth_read,8,mesh.646163c341579b56,1,3,2,3,Artist,program.21af769001dafed59e297c4ddf709d9eba795b31df34db62662ff83abc9de772,layout.3d8202dc0d48dfadb7862b2ed78fdd85aa330982b819a9c0eb710c2a3c98a4d4,adapter.6c3e3f373ebf3ccb2430dcc6ac29b5f83cccc4718d89b77496f51a410bdef06d
cohort.2c31061de38b998b8d9321dfed8044a8cd472708e5c50ed034d86a7705cce5d1,TYPED_EXECUTION_COHORT,SPRITE_PARTICLE / alpha_one_sided_depth_read,6,sprite.bfa4e874bafe2a43|sprite.038c80fb6ea02c1a,2,2,0,2,Artist,program.db8dcd4c2dc7522cdce1158261c0fc8022b2a3e84fb0c4aac2d291cdee2290d0,layout.e7329964065007ddbca6d1614906994ea37762de8df82dd649a0bfdbe0a7b11a,adapter.1938466788e21cb01e5e946953bab77d0b20b39f3667091fa8b72e3c3dc8d498
cohort.a10283b78b61e1d89002477faba8312e0ef5d350e05b76d85eb2145581b454b8,TYPED_EXECUTION_COHORT,MESH_PARTICLE / alpha_two_sided_depth_read,7,mesh.6ded917f52544378|mesh.8876da26a729cca0,2,2,0,2,Artist,program.bb07cebdb973666547ad6471bc1fd5f0aa45249f04d53930d4528b0f1de6ffc5,layout.8c700ad3e34aaf84dde8c2b18a5694e7bda9193a4698a74d80cd1f6b598f4eb8,adapter.f1e82a35e129aa6aa76ab39ca98f61ac3050dbef8b43872249016684b58a1f0b
cohort.fa4b151f48331e1b4288e91dfa741302d1f3bdca476e5816cab3ec17d541b0c1,TYPED_EXECUTION_COHORT,DECAL_PARTICLE / alpha_one_sided_depth_read,14,decal.f3b5c3b63b4a7e34|decal.6f78bff02c657a14,2,2,0,2,Artist,program.c7bd3750daa5a167f28e37a3daddf309c3867805538167e4e72d2431f6ca9437,layout.c23af040992aab2d82c1a920d9652e286d4fd839f81f724457437ea716765c62,adapter.238cf2935ebe6efe7ae9cf4081104a2d13785a90b2baa24a66b1a29bfdac588f
cohort.29510c4e26f62614d5a3a8b3b0c1798745a8c3a010e1a2282d79c7c77afc80f5,TYPED_EXECUTION_COHORT,SPRITE_PARTICLE / alpha_two_sided_depth_read,6,sprite.c65181324417a1a8|sprite.2b3dc6842507e910,2,2,0,2,Artist,program.11b4f35123b70b150215cefb2d0d122c2af450a1cca82c0836494c2e0402d75f,layout.03a1a3fadb60beb49da876b2fba3e78f47a40e13f9d83195f6acffa6918508e8,adapter.6b314ad567925ba52a34aacff4f171203d9aab7581ebe96686e708bde580e748
cohort.260a4e0f14b554dbae35e3b845cb665a34410e65851f95c1b298fe04fec756ee,TYPED_EXECUTION_COHORT,MESH_PARTICLE / alpha_one_sided_depth_read,1,mesh.8165115d36cd1a8a|mesh.827d0c725afc9c37,2,2,0,2,Artist,program.4d52ac1b64ef406edbbff544d8814910abfda0d770ceec416fa6d2385acb62d7,layout.7a45f3f56c5da9d684e952edffb6a7160c62a08887f4dac8ccf2529989a08f6a,adapter.a6580f83547f4e106a1d94bcb508ae706810e4accad51fc12e1388a7f8692126
cohort.26517a325282368af36bfa854b6f4f637b9df1fda10aa7d73a5ccc921ead3cbc,TYPED_EXECUTION_COHORT,SPRITE_PARTICLE / alpha_two_sided_depth_read,13,sprite.ecd6e1e27fae5476,1,1,0,1,Artist,program.36d0e7f0f71ceed7f4cf2274f60193f3768471ee27d74ceed117dbf7a6e3091c,layout.c5e1061bf521272199d8a73668d020eca1b6f57aa099643c66c511e645bf87e4,adapter.38d74882b6da21d158459089109b9cb424e7401de831ed8315891979ed467603
cohort.042409015353f1c599dd2d4900e77540e88ec69673d43b9e1eb38e9af09e0e67,TYPED_EXECUTION_COHORT,MESH_PARTICLE / alpha_two_sided_depth_read,3,mesh.062366ee9f9655d3,1,1,0,1,Artist,program.03178e042d8cdf283e73221aa031a760ab3e06dfdb174775def7d89267dbc6d1,layout.d2d7a5588252da701776cd1a8ee87b88814099db1f14a5c234a5a51c1b870e0a,adapter.4c75373386a766dfbb3d4d0a0a3b3caffca899aeafa0cdfa7e3fb97d74c40e6e
cohort.9b0638c5e0d6cdeb678767a499f9dc695055fe30cf8c527f240e45f0a011a7fa,TYPED_EXECUTION_COHORT,AUTHORED_LEGACY_TRAIL / alpha_two_sided_depth_read,9,ribbon.a6fe27caa16b2630,1,1,0,1,Artist,program.0a7376cdea9d39b020c16038944b0186a3f8c4b46e42533a872c923a9b3578c8,layout.9574509f0584666b8c577914f094ad971ddf9438752b5748fbf906cd54ebd8ea,adapter.433541ed2b052f827ffaad1212f94a8e9c21b18e7f8ad7c673dc044b7e082fe4
cohort.61318f1882fa69ee508e4fea125589ffa03f2d0593bb3147aa0d3d6937acd635,TYPED_EXECUTION_COHORT,MESH_PARTICLE / alpha_two_sided_depth_read,2,mesh.a502a64a218e7619,1,1,0,1,Artist,program.9722305743ce23ba86abea32578bf89d963e3d3b9bb5faca7ce8c4f53458dd40,layout.7ebae83fc0f117684b702b1a8db9355c38e2350fae6658082b49e97a3f6a33bc,adapter.727802eba72a6cd489e0ecddf8d04dbbce783d3f60bcb5ee6d252a3e9a4c1a4b
