rank,carrier,renderProfile,productOccurrences,pctOfProduct,cumulativePct,compiledAdapterExists,proposedAdapterId,artistF_covers,artistF_elements,Artist,LanceMaster,Warlord,DimensionMaster,Valtan,typedProgramReady,dxbcOccurrenceExact,dxbcFamilyRepOnly,observedOpcodes,rasterizerState,depthStencilState,blendState,stateSource,shaderId,vertexLayoutId,passIndex,mrt,carrierWorkNeeded
1,SPRITE,alpha_two_sided_depth_read,601,23.5,23.5,YES,effect.adapter.sprite-particle.scene-color-rt0.zero-distortion-rt1.alpha-two-sided.v1,YES,4,59,71,8,9,454,6,157,249,21|6|13|11,RS_Cull_None,DSS_ReadOnly,BS_EffectAlpha,Effect_DocumentRenderer.cpp:7570-7595 (확정),Shader_VtxEffectParticle.hlsl,VTXEFFECT_PARTICLE,1,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),EXISTS (compiled)
2,SPRITE,additive_one_sided_depth_read,501,19.6,43.1,NO,effect.adapter.sprite-particle.scene-color-rt0.zero-distortion-rt1.additive-one-sided.v1,NO,0,74,194,128,104,1,0,190,145,,RS_Default,DSS_ReadOnly,BS_EffectAdditive,Effect_DocumentRenderer.cpp:7570-7595 (확정),Shader_VtxEffectParticle.hlsl,VTXEFFECT_PARTICLE,1,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),EXISTS (compiled)
3,MESH,alpha_two_sided_depth_read,481,18.8,62.0,NO,effect.adapter.mesh-particle.scene-color-rt0.zero-distortion-rt1.alpha-two-sided.v1,YES,5,22,184,86,17,172,7,194,210,8|7|3|2,RS_Cull_None,DSS_ReadOnly,BS_EffectAlpha,Effect_DocumentRenderer.cpp:7570-7595 (확정),MeshPreview carrier shader (미확정),mesh VF 미확정,TBD,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),"필요: mesh VF/vertex layout, modelPreScale 0.01, pass index"
4,SPRITE,alpha_one_sided_depth_read,422,16.5,78.5,NO,effect.adapter.sprite-particle.scene-color-rt0.zero-distortion-rt1.alpha-one-sided.v1,YES,2,111,137,117,55,2,4,156,214,6|17,RS_Default,DSS_ReadOnly,BS_EffectAlpha,Effect_DocumentRenderer.cpp:7570-7595 (확정),Shader_VtxEffectParticle.hlsl,VTXEFFECT_PARTICLE,1,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),EXISTS (compiled)
5,SPRITE,additive_two_sided_depth_read,273,10.7,89.2,NO,effect.adapter.sprite-particle.scene-color-rt0.zero-distortion-rt1.additive-two-sided.v1,NO,0,65,113,58,36,1,12,71,67,18,RS_Cull_None,DSS_ReadOnly,BS_EffectAdditive,Effect_DocumentRenderer.cpp:7570-7595 (확정),Shader_VtxEffectParticle.hlsl,VTXEFFECT_PARTICLE,1,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),EXISTS (compiled)
6,MESH,alpha_one_sided_depth_read,83,3.2,92.4,NO,effect.adapter.mesh-particle.scene-color-rt0.zero-distortion-rt1.alpha-one-sided.v1,YES,2,12,33,15,21,2,14,9,60,19|1,RS_Default,DSS_ReadOnly,BS_EffectAlpha,Effect_DocumentRenderer.cpp:7570-7595 (확정),MeshPreview carrier shader (미확정),mesh VF 미확정,TBD,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),"필요: mesh VF/vertex layout, modelPreScale 0.01, pass index"
7,MESH,additive_one_sided_depth_read,76,3.0,95.4,NO,effect.adapter.mesh-particle.scene-color-rt0.zero-distortion-rt1.additive-one-sided.v1,NO,0,9,21,28,18,0,0,14,61,,RS_Default,DSS_ReadOnly,BS_EffectAdditive,Effect_DocumentRenderer.cpp:7570-7595 (확정),MeshPreview carrier shader (미확정),mesh VF 미확정,TBD,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),"필요: mesh VF/vertex layout, modelPreScale 0.01, pass index"
8,DECAL,alpha_two_sided_depth_read,72,2.8,98.2,NO,effect.adapter.decal-particle.scene-color-rt0.zero-distortion-rt1.alpha-two-sided.v1,NO,0,17,11,9,2,33,0,0,0,,RS_Cull_None,DSS_ReadOnly,BS_EffectAlpha,Effect_DocumentRenderer.cpp:7570-7595 (확정),Decal carrier shader (미확정),LocalDecal projector VF 미확정,TBD,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),"필요: projector VF, scene depth 입력"
9,MESH,additive_two_sided_depth_read,26,1.0,99.3,NO,effect.adapter.mesh-particle.scene-color-rt0.zero-distortion-rt1.additive-two-sided.v1,NO,0,0,7,11,8,0,0,12,9,,RS_Cull_None,DSS_ReadOnly,BS_EffectAdditive,Effect_DocumentRenderer.cpp:7570-7595 (확정),MeshPreview carrier shader (미확정),mesh VF 미확정,TBD,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),"필요: mesh VF/vertex layout, modelPreScale 0.01, pass index"
10,RIBBON,alpha_two_sided_depth_read,10,0.4,99.6,NO,effect.adapter.ribbon-particle.scene-color-rt0.zero-distortion-rt1.alpha-two-sided.v1,YES,1,5,4,1,0,0,2,0,8,20|9,RS_Cull_None,DSS_ReadOnly,BS_EffectAlpha,Effect_DocumentRenderer.cpp:7570-7595 (확정),Trail/Ribbon carrier shader (미확정),history VF 미확정,TBD,MRT_SceneHDR / RT0=SV_TARGET0 sceneColor / RT1=SV_TARGET1 distortion(zero),"필요: point history geometry, tangent/width"
