profileId,actionId,actionName,sourceStageCount,sourceAnimOccurrenceCount,uniqueSourceClips,uniqueRuntimeClips,particleNotifyCount,particleSystemCount,particleSystems,soundEventCount,soundEvents,notifyTypes,notifyExtendingBeyondAnimationCount,currentPatternIds,currentPatternNames,currentAuthoredGates,currentAuthoringStatuses,analystCategory,analystFamilyWithoutGateAuthority,overlappingNameTags
MN_RPCZ_00,0,STAND,23,16,Idle_Normal_1 ; Idle_Normal_1_1 ; Idle_Normal_1_2 ; Idle_Battle_1 ; Idle_Burrow_Loop_1 ; Idle_Status1_Loop_1 ; Idle_Status2_Loop_1 ; Idle_Status3_Loop_1 ; 0 ; Idle_FixedType_Loop_1 ; Idle_FlyingType_Loop_1 ; Idle_FixedType_Normal_1 ; Idle_FlyingType_Normal_1 ; Idle_Status1_Normal_1 ; Idle_Status2_Normal_1 ; Idle_Status3_Normal_1,rpcz00_idle_normal_1 ; rpcz00_idle_battle_1,0,0,,1,S_Mob_G_KouKu1.G_KouKu1_IdleN1,"{""Condition"": 7, ""Anim"": 16, ""AKEvent"": 1}",0,KAKULSAYDON_G1_PATTERN_12,쿠크_조커찾기,GATE2,PRODUCT,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,1,MOVE,14,10,Walk_Normal_1 ; Run_Battle_1 ; Run_Burrow_1 ; Fast_Run_Battle_1 ; Walk_Status1_1 ; Walk_Status3_1 ; Walk_Status2_1 ; Run_Status1_1 ; Run_Status2_1 ; Run_Status3_1,rpcz00_walk_normal_1 ; rpcz00_run_battle_1,0,0,,3,S_Mob_G_KouKu1.G_KouKu1_Walk1 ; S_Mob_G_KouKu1.G_KouKu1_FootStep1 ; S_Mob_G_KouKu1.G_KouKu1_Run1,"{""Condition"": 4, ""Anim"": 10, ""AKEvent"": 6}",0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,3,FALLING,1,1,Run_Battle_1,rpcz00_run_battle_1,0,0,,0,,"{""Anim"": 1}",0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,4,LAND,1,1,Idle_Normal_1,rpcz00_idle_normal_1,0,0,,0,,"{""Anim"": 1}",0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,12,BEHIT,24,21,KnockDown ; StandUp_1 ; Bound ; Bound_Land ; Dmg_Idle_1 ; TwistKnockDown ; KnockDown_Land ; TwistKnockDown_Land ; Abn_Bug_1 ; Abn_EarthQuake_1 ; Abn_Fear_1 ; Abn_Shock_1 ; Abn_Stun_1 ; Ground_1 ; Dmg_Critical_Start_1 ; Dmg_Critical_Loop_1 ; Dmg_Critical_End_1 ; Dmg_Idle_2 ; Dmg_Idle_3,rpcz00_knockdown ; rpcz00_standup_1 ; rpcz00_bound ; rpcz00_bound_land ; rpcz00_dmg_idle_1 ; rpcz00_twistknockdown ; rpcz00_knockdown_land ; rpcz00_twistknockdown_land ; rpcz00_abn_shock_1 ; rpcz00_abn_stun_1 ; rpcz00_ground_1 ; rpcz00_dmg_critical_start_1 ; rpcz00_dmg_critical_loop_1 ; rpcz00_dmg_critical_end_1 ; rpcz00_dmg_idle_2,0,0,,7,S_Mob_G_KouKu1.G_KouKu1_Down1 ; S_Mob_G_KouKu1.G_KouKu1_StandUp1 ; S_Mob_G_KouKu1.G_KouKu1_Damage1 ; S_Mob_G_KouKu1.G_KouKu1_FreezeStart1 ; S_Systems.SYS_MONSTER_FREEZE1 ; S_Mob_G_KouKu1.G_KouKu1_FreezeLoop1 ; S_Mob_G_KouKu1.G_KouKu1_FreezeEnd1,"{""Condition"": 3, ""Anim"": 21, ""AKEvent"": 10, ""Down"": 5, ""SoundSetDownMid"": 3, ""ViewShake"": 1, ""SoundSetSpringBound"": 1}",0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,13,DIE,22,15,Anim ; Dead_3,rpcz00_dead_1 ; rpcz00_dead_1_loop,13,0,,3,S_Mob_G_KouKu1.G_KouKu1_DeathVox1 ; S_Mob_G_KouKu1.G_KouKu1_DeathDown1 ; S_Mob_G_KouKu1.G_KouKu1_DeathR1,"{""Condition"": 7, ""Anim"": 15, ""PawnMaterialChange"": 8, ""AKEvent"": 5, ""DefaultParticle"": 13, ""PawnMaterialParam"": 8}",0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,15,SPAWN,9,6,Respawn_1 ; Respawn_2 ; Respawn_1_1 ; Respawn_1_2 ; Respawn_1_3 ; Respawn_1_4,,1,0,,0,,"{""Condition"": 2, ""DefaultParticle"": 1, ""PawnMaterialChange"": 1, ""PawnMaterialParam"": 1, ""SuperArmor"": 7, ""Anim"": 6}",0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,16,RESURRECT,1,0,,,0,0,,0,,{},0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,19,DESPAWN,3,0,,,1,0,,0,,"{""Condition"": 2, ""DefaultParticle"": 1, ""PawnMaterialChange"": 1, ""PawnMaterialParam"": 4}",0,,,,,COMMON,공통 상태(대기/이동/낙하/착지/피격/사망/생성/부활/소멸),
MN_RPCZ_00,990378,쿠크_선회_90도_테스트용 임시,1,1,Idle_Battle_1,rpcz00_idle_battle_1,0,0,,1,S_Mob_G_CukSatan1.G_CukSatan1_Attack18_Shot1,"{""Anim"": 1, ""AKEvent"": 1, ""Rotate"": 1}",0,,,,,SYSTEM,선회 테스트 / 버프 정리 / 사망스킬 / 대형 쿠크 카드미로 종료,TEST_OR_UNUSED ; MOVEMENT_OR_CONTROL
MN_RPCZ_00,990379,쿠크_선회_180도_테스트용 임시,1,1,Idle_Battle_1,rpcz00_idle_battle_1,0,0,,1,S_Mob_G_CukSatan1.G_CukSatan1_Attack18_Shot1,"{""Anim"": 1, ""AKEvent"": 1, ""Rotate"": 1}",0,,,,,SYSTEM,선회 테스트 / 버프 정리 / 사망스킬 / 대형 쿠크 카드미로 종료,TEST_OR_UNUSED ; MOVEMENT_OR_CONTROL
