package,particleSystem,sourceObjectId,emitterCount,reachedObjectCount,moduleClasses,materialReferences,meshReferences,externalReferences,directSourceActionUseCount,sourceActions,actionNames,graphPath
FX_BS_00,FX_BS_00.hit.par_d_groggyhit_01,FX_BS_00:export:23306,14,113,distributionfloatconstantcurve ; particlelodlevel ; particlemoduleacceleration ; particlemodulecolor ; particlemodulecoloroverlife ; particlemodulecolorscaleoverlife ; particlemodulelifetime ; particlemodulelocationprimitivesphere ; particlemodulemeshrotation ; particlemoduleparameterdynamic ; particlemodulerequired ; particlemodulerotation ; particlemodulerotationrate ; particlemodulerotationratemultiplylife ; particlemodulesize ; particlemodulesizemultiplylife ; particlemodulespawn ; particlemodulesubuv ; particlemoduletypedatamesh ; particlemodulevelocity ; particlemodulevelocityoverlifetime ; particlespriteemitter ; particlesystem,fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_05_ad ; fx_m_mi_01.fx_mi.fx_e_pa_fd_11_1_tr ; fx_m_mi_01.fx_mi.fx_e_pa_gl_01_2_tr ; fx_m_mi_01.fx_mi.fx_e_pa_gl_02_4_ad ; fx_m_mi_01.fx_mi.fx_e_pa_gl_03_1_ad ; fx_m_mi_01.fx_mi.fx_e_pa_ht_12_3_tr ; fx_m_mi_01.fx_mi.fx_e_pa_ht_13_1_tr ; fx_m_mi_01.fx_mi.fx_e_pa_ht_16_1_ad ; fx_m_mi_01.fx_mi.fx_f_pa_gl_01_1_ad ; fx_m_mi_05.fx_m.fx_a_me_panning_01_ts_ad ; fx_m_mi_05.fx_mi.fx_e_pa_fd_15_4_tr,fx_sm_00.fm_a_cylinder_002,bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulecameraoffset_1 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulelifetime_6 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulerotation_2 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulespawn_11 ; bfx_high_01.light.par_j_lighthit_002.particlemoduleparameterdynamic_0 ; bfx_low_01.explosion.par_g_explosion_02.particlemodulelifetime_19 ; bfx_low_01.explosion.par_g_explosion_02.particlemoduleparameterdynamic_4 ; bfx_low_05.sparkling.par_h_spark_02.particlemodulelifetime_2 ; bfx_low_05.sparkling.par_h_spark_03.particlemodulelifetime_0 ; bfx_low_10.dust.par_h_cuttree_01.particlemodulelifetime_3 ; bfx_low_10.dust.par_l_dustbust_01.particlemodulelifetime_0 ; bfx_low_13.light.par_d_unseallight_start_01.particlemodulecoloroverlife_3 ; fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_05_ad ; fx_m_mi_01.fx_mi.fx_e_pa_fd_11_1_tr ; fx_m_mi_01.fx_mi.fx_e_pa_gl_01_2_tr ; fx_m_mi_01.fx_mi.fx_e_pa_gl_02_4_ad ; fx_m_mi_01.fx_mi.fx_e_pa_gl_03_1_ad ; fx_m_mi_01.fx_mi.fx_e_pa_ht_12_3_tr ; fx_m_mi_01.fx_mi.fx_e_pa_ht_13_1_tr ; fx_m_mi_01.fx_mi.fx_e_pa_ht_16_1_ad ; fx_m_mi_01.fx_mi.fx_f_pa_gl_01_1_ad ; fx_m_mi_05.fx_m.fx_a_me_panning_01_ts_ad ; fx_m_mi_05.fx_mi.fx_e_pa_fd_15_4_tr ; fx_sm_00.fm_a_cylinder_002,1,MN_RPCT_06:4221811,대형 세이튼_무력화,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_BS_00.particle-graph.json
FX_BS_00,FX_BS_00.hit.par_k_raidgroggy_hit_01_loc_int,FX_BS_00:export:23453,8,76,distributionvectorparticleparameter ; particlelodlevel ; particlemodulecameraoffset ; particlemodulecolor ; particlemodulecoloroverlife ; particlemodulecolorscaleoverlife ; particlemodulelifetime ; particlemodulelocation ; particlemoduleparameterdynamic ; particlemodulerequired ; particlemodulerotation ; particlemodulesize ; particlemodulesizemultiplylife ; particlemodulespawn ; particlemodulesubuv ; particlemodulevelocity ; particlemodulevelocityoverlifetime ; particlespriteemitter ; particlesystem,bfx_m_mi_00.bfx_m.bfx_i_pa_glow_01_ad ; fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_03_ad ; fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_05_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_09_02_ad ; fx_m_mi_01.fx_mi.fx_f_pa_ht_02_2_ad ; fx_m_mi_01.fx_mi.fx_j_pa_circlelenz_02_ad ; fx_m_mi_01.fx_mi.fx_k_pa_fluid_01_01_ad,,bfx_m_mi_00.bfx_m.bfx_i_pa_glow_01_ad ; fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_03_ad ; fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_05_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_09_02_ad ; fx_m_mi_01.fx_mi.fx_f_pa_ht_02_2_ad ; fx_m_mi_01.fx_mi.fx_j_pa_circlelenz_02_ad ; fx_m_mi_01.fx_mi.fx_k_pa_fluid_01_01_ad,8,MN_RPCZ_00:4219763 ; MN_RPCZ_00:4219766 ; MN_RPCZ_00:4219767 ; MN_RPCZ_00:4219768 ; MN_RPCT_05:4219817 ; MN_RPCT_07:4219927 ; MN_RPCT_07:4219946 ; MN_RPCT_07:4219987,쿠크_그로기 ; 대형 쿠크_광기게이지_카운터_1 ; 대형 쿠크_광기게이지_카운터_2 ; 대형 쿠크_광기게이지_카운터_3 ; 세이튼_무력화 성공 ; 쿠크세이튼_원기옥 발사 ; 쿠크세이튼_무력화 성공 ; 쿠크세이튼_테스트 데이터_인터셉트,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_BS_00.particle-graph.json
FX_BS_01,FX_BS_01.trail.par_d_trail_19_3,FX_BS_01:export:5403,2,18,particlelodlevel ; particlemodulecolor ; particlemodulecolorscaleoverlife ; particlemodulelifetime ; particlemoduleparameterdynamic ; particlemodulerequired ; particlemodulespawn ; particlemoduletypedataanimtrail ; particlespriteemitter ; particlesystem,fx_m_mi_01.fx_mi.fx_d_pa_ribflow_01_09_ad ; fx_m_mi_01.fx_mi.fx_d_pa_trail_07_01_tr,,fx_m_mi_01.fx_mi.fx_d_pa_ribflow_01_09_ad ; fx_m_mi_01.fx_mi.fx_d_pa_trail_07_01_tr,1,MN_RPCT_07:4219928,[사용안함]쿠크세이튼_접근해서 돌진,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_BS_01.particle-graph.json
FX_BS_01,FX_BS_01.trail.par_d_trail_23_loc_int,FX_BS_01:export:5408,2,19,particlelodlevel ; particlemodulecolor ; particlemodulecolorscaleoverlife ; particlemodulelifetime ; particlemoduleparameterdynamic ; particlemodulerequired ; particlemodulespawn ; particlemoduletypedataanimtrail ; particlespriteemitter ; particlesystem,fx_m_mi_00.fx_mi.fx_d_pa_master_01_015_ad ; fx_m_mi_01.fx_mi.fx_d_pa_trail_07_05_tr,,fx_m_mi_00.fx_mi.fx_d_pa_master_01_015_ad ; fx_m_mi_01.fx_mi.fx_d_pa_trail_07_05_tr,17,MN_RPCT_05:4219804 ; MN_RPCT_05:4219805 ; MN_RPCT_05:4219822 ; MN_RPCT_05:4219868 ; MN_RPCT_05:4219870 ; MN_RPCT_05:4219877 ; MN_RPCT_07:4219928 ; MN_RPCT_07:4219942 ; MN_RPCT_07:4219943 ; MN_RPCT_07:4219950 ; MN_RPCT_07:4219955 ; MN_RPCT_07:4219957 ; MN_RPCT_07:4219959 ; MN_RPCT_07:4219963 ; MN_RPCT_07:4219980 ; MN_RPCT_07:4219981 ; MN_RPCT_07:4219982,세이튼_아드레날린 무기A ; 세이튼_아드레날린 무기B ; 세이튼_내려치기B ; 세이튼_사라진후 내려찍기 ; 세이튼_순간이동 공격 ; 세이튼_내려치기C ; [사용안함]쿠크세이튼_접근해서 돌진 ; 쿠크세이튼_아드레날린 무기A ; 쿠크세이튼_아드레날린 무기B ; 쿠크세이튼_내려치기B ; 쿠크세이튼_사라진후 내려찍기 ; [사용안함]쿠크세이튼_순간이동 공격 ; 쿠크세이튼_내려치기C ; 칼날 소환 ; 갈고리 소환_1단계 ; 갈고리 소환_2단계 ; 갈고리 소환_3단계,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_BS_01.particle-graph.json
FX_BS_04,FX_BS_04.state.par_j_exmove_01,FX_BS_04:export:14134,9,56,efparticlemodulevelocityoverlifetime ; particlelodlevel ; particlemodulecolor ; particlemodulecoloroverlife ; particlemodulecolorscaleoverlife ; particlemodulelocationprimitivesphere_seeded ; particlemodulerequired ; particlemodulesize ; particlemodulesizemultiplylife ; particlemodulespawn ; particlemoduletypedatamesh ; particlespriteemitter ; particlesystem,bfx_m_mi_00.bfx_mi.bfx_c_pa_lightflare_01_ddt_4_ad ; bfx_m_mi_00.bfx_mi.bfx_d_pa_flar_02_01_ad ; bfx_m_mi_00.bfx_mi.bfx_j_pa_ring_07_06_ad ; fx_m_mi_00.fx_mi.fx_a_pa_gl_01_9_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_09_02_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_09_04_tr ; fx_m_mi_01.fx_mi.fx_j_me_ringrainbow_01_2_ts_tr ; fx_m_mi_01.fx_mi.fx_j_pa_chromaring_01_ad ; fx_m_mi_02.fx_m.fx_j_pa_circledisort_01_ad,fx_sm_00.fm_d_helix_015,bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulecameraoffset_1 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulemeshrotationrate_0 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulerotation_15 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulespawn_11 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulespawn_13 ; bfx_high_01.light.par_j_lighthit_002.particlemodulelifetime_3 ; bfx_low_01.explosion.par_g_explosion_02.particlemodulecameraoffset_0 ; bfx_low_05.sparkling.par_h_spark_02.particlemodulecolor_1 ; bfx_low_05.sparkling.par_h_spark_02.particlemodulelifetime_2 ; bfx_low_05.sparkling.par_h_spark_02.particlemodulesize_3 ; bfx_m_mi_00.bfx_mi.bfx_c_pa_lightflare_01_ddt_4_ad ; bfx_m_mi_00.bfx_mi.bfx_d_pa_flar_02_01_ad ; bfx_m_mi_00.bfx_mi.bfx_j_pa_ring_07_06_ad ; fx_bs_00.hit.par_b_mat_metal_001.particlemodulelifetime_7 ; fx_bs_00.hit.par_d_backattackhit_01.particlemodulesize_7 ; fx_bs_00.hit.par_d_hit_rifle_back_02.particlemodulesizemultiplylife_13 ; fx_bs_00.hit.par_d_prjdead_darkness_01_loc_int.particlemodulelifetime_4 ; fx_bs_00.hit.par_e_hitblackcri_01_loc_int.particlemodulecameraoffset_19 ; fx_bs_00.hit.par_e_hitdefault2_01_loc_int.particlemodulelifetime_4 ; fx_bs_00.hit.par_j_whkf_holypower_exp_01.particlemoduleparameterdynamic_9 ; fx_bs_00.hit.par_k_flms_hit_backcri_01.particlemodulelifetime_6 ; fx_bs_00.hit.par_l_cdkcn_hit_01_l.particlemodulecameraoffset_1 ; fx_bs_02.item.par_k_bi_holyamul_01.particlemodulesize_1 ; fx_bs_02.item.par_k_item_massteleport_01.particlemoduleparameterdynamic_20 ; fx_bs_02.item.par_k_item_massteleport_01.particlemodulesize_39 ; fx_bs_02.item.par_k_item_massteleport_01.particlemodulesizemultiplylife_23 ; fx_bs_02.item.par_l_carve_01.particlemodulecolorscaleoverlife_20 ; fx_bs_02.item.par_l_carve_01.particlemodulecolorscaleoverlife_25 ; fx_bs_02.item.par_l_carve_01.particlemodulecolorscaleoverlife_26 ; fx_bs_02.item.par_l_carve_01.particlemodulelifetime_28 ; fx_bs_02.item.par_l_carve_01.particlemodulemeshrotation_seeded_0 ; fx_bs_02.item.par_l_carve_01.particlemoduleparameterdynamic_10 ; fx_bs_02.item.par_l_carve_01.particlemoduleparameterdynamic_12 ; fx_bs_02.item.par_l_carve_01.particlemoduleparameterdynamic_16 ; fx_bs_02.item.par_l_carve_01.particlemoduleparameterdynamic_17 ; fx_bs_02.item.par_l_carve_01.particlemoduleparameterdynamic_18 ; fx_bs_02.item.par_l_carve_01.particlemodulerotation_5 ; fx_bs_02.item.par_l_carve_01.particlemodulesize_12 ; fx_bs_02.item.par_l_carve_01.particlemodulesize_seeded_0 ; fx_bs_02.item.par_l_carve_01.particlemodulesizemultiplylife_11 ; fx_bs_02.item.par_l_carve_01.particlemodulesizemultiplylife_14 ; fx_bs_02.item.par_l_carve_01.particlemodulesizemultiplylife_15 ; fx_bs_02.item.par_l_carve_01.particlemodulesizemultiplylife_16 ; fx_bs_02.item.par_l_carve_01.particlemodulesizemultiplylife_18 ; fx_bs_02.item.par_l_carve_01.particlemodulesizemultiplylife_21 ; fx_m_mi_00.fx_mi.fx_a_pa_gl_01_9_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_09_02_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_09_04_tr ; fx_m_mi_01.fx_mi.fx_j_me_ringrainbow_01_2_ts_tr ; fx_m_mi_01.fx_mi.fx_j_pa_chromaring_01_ad ; fx_m_mi_02.fx_m.fx_j_pa_circledisort_01_ad ; fx_sm_00.fm_d_helix_015,8,MN_RPCT_05:4219879 ; MN_RPCT_05:4219885 ; MN_RPCT_05:42198100 ; MN_RPCT_07:4219905 ; MN_RPCT_07:4219963 ; MN_RPCT_07:4219980 ; MN_RPCT_07:4219981 ; MN_RPCT_07:4219982,댄스타임 준비 ; 폭탄해체 놀이 ; 공통무늬 찾기 준비 ; 빙고맵 오프닝 ; 칼날 소환 ; 갈고리 소환_1단계 ; 갈고리 소환_2단계 ; 갈고리 소환_3단계,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_BS_04.particle-graph.json
FX_BS_10,FX_BS_10.hit.par_d_beamhit_01,FX_BS_10:export:6222,6,63,distributionfloatconstantcurve ; particlelodlevel ; particlemodulecameraoffset ; particlemodulecolor ; particlemodulecoloroverlife ; particlemodulecolorscaleoverlife ; particlemodulelifetime ; particlemodulelocationprimitivesphere ; particlemoduleparameterdynamic ; particlemodulerequired ; particlemodulerotation ; particlemodulerotationrate ; particlemodulesize ; particlemodulesizemultiplylife ; particlemodulespawn ; particlemodulevelocity ; particlemodulevelocityoverlifetime ; particlespriteemitter ; particlesystem,fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_07_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_05_08_ad ; fx_m_mi_01.fx_m.fx_f_pa_wind_06_tr ; fx_m_mi_01.fx_mi.fx_e_pa_fd_07_1_ad ; fx_m_mi_01.fx_mi.fx_e_pa_ht_08_1_ad ; fx_m_mi_01.fx_mi.fx_e_pa_ht_12_3_tr,,fx_m_mi_00.fx_mi.fx_c_pa_lensflare_01_07_ad ; fx_m_mi_00.fx_mi.fx_d_pa_atta_05_08_ad ; fx_m_mi_01.fx_m.fx_f_pa_wind_06_tr ; fx_m_mi_01.fx_mi.fx_e_pa_fd_07_1_ad ; fx_m_mi_01.fx_mi.fx_e_pa_ht_08_1_ad ; fx_m_mi_01.fx_mi.fx_e_pa_ht_12_3_tr,1,MN_RPCT_07:4219987,쿠크세이튼_테스트 데이터_인터셉트,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_BS_10.particle-graph.json
FX_CM_00,FX_CM_00.dust.par_c_dust_001,FX_CM_00:export:8377,1,8,particlelodlevel ; particlemodulecoloroverlife ; particlemodulelocationprimitivecylinder ; particlemodulerequired ; particlemodulevelocity ; particlespriteemitter ; particlesystem,fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,,bfx_low_01.explosion.par_g_explosion_02.particlemodulerotation_8 ; bfx_low_01.explosion.par_g_explosion_02.particlemodulespawn_14 ; bfx_low_05.sparkling.par_h_spark_02.particlemodulelifetime_4 ; bfx_low_05.sparkling.par_h_spark_03.particlemodulespawn_26 ; fx_bs_00.hit.par_b_attnormal_mg_01.particlemodulecolorscaleoverlife_0 ; fx_bs_02.item.par_c_it_epic_003.particlemodulesizemultiplylife_18 ; fx_bs_04.state.par_g_gravityarea_01.particlemodulevelocityoverlifetime_2 ; fx_bs_05.prj.par_g_wind_prj_01.particlemodulesubuv_0 ; fx_bs_05.prj.par_p_tile_04__firedecal_01.particlemodulesize_36 ; fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,11,MN_RPCZ_00:4219717 ; MN_RPCZ_00:4219718 ; MN_RPCZ_00:4219719 ; MN_RPCZ_00:4219720 ; MN_RPCZ_00:4219723 ; MN_RPCZ_00:4219728 ; MN_RPCZ_00:4219729 ; MN_RPCZ_00:4219753 ; MN_RPCZ_00:4219754 ; MN_RPCZ_00:4219755 ; MN_RPCZ_00:4219776,쿠크_마법진 붉은색 안전지대 ; 쿠크_광기게이지 관리 스킬 ; 쿠크_융단폭격A ; 쿠크_융단폭격B ; 쿠크_대폭발 성공 ; 쿠크_마법진 푸른색 안전지대 ; 쿠크_마법진 반반색 안전지대 ; 쿠크_광기게이지 관리 스킬2 ; 쿠크_광기게이지 관리 스킬3 ; 쿠크_융단폭격B_2 ; 쿠크_돌진,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_CM_00.particle-graph.json
FX_CM_00,FX_CM_00.dust.par_d_dust_001_1,FX_CM_00:export:8384,2,15,particlelodlevel ; particlemodulecolor ; particlemodulecoloroverlife ; particlemodulecolorscaleoverlife ; particlemodulelocationprimitivecylinder_seeded ; particlemoduleparameterdynamic ; particlemodulerequired ; particlemodulesizemultiplylife ; particlespriteemitter ; particlesystem,fx_m_mi_03.fx_mi.fx_d_pa_ring_07_16_tr ; fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,,bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulelocation_3 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemoduleorientationaxislock_0 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulesize_5 ; bfx_high_00.explosion.par_q_isbc_jump_02.particlemodulespawn_11 ; bfx_low_01.explosion.par_g_explosion_02.particlemodulerotation_8 ; bfx_low_01.explosion.par_g_explosion_02.particlemodulesize_12 ; bfx_low_01.explosion.par_g_explosion_02.particlemodulespawn_3 ; bfx_low_16.water.par_h_fishing_s_01.particlemodulelifetime_5 ; fx_bs_00.hit.par_k_mar_dancinghit_02.particlemodulelifetime_8 ; fx_bs_00.hit.par_u_kzcg_skhit_nightlea_fluid_01.particlemodulespawn_31 ; fx_bs_02.item.par_c_it_epic_003.particlemodulesizemultiplylife_18 ; fx_bs_04.state.par_u_fullswing_exp_dust_01.particlemodulevelocity_0 ; fx_bs_05.prj.par_g_wind_prj_01.particlemodulesubuv_0 ; fx_bs_05.prj.par_l_shuriken_prj_01.particlemodulevelocityoverlifetime_4 ; fx_bs_05.prj.par_l_throwstone_exp_01.particlemodulecolorscaleoverlife_3 ; fx_m_mi_03.fx_mi.fx_d_pa_ring_07_16_tr ; fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,2,MN_RPCT_05:4219863 ; MN_RPCT_07:4219901,세이튼_슬라이딩 태클 ; 쿠크세이튼_슬라이딩 태클 후 내려찍기,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_CM_00.particle-graph.json
FX_CM_00,FX_CM_00.dust.par_d_dust_001_pr,FX_CM_00:export:8385,1,10,distributionfloatparticleparameter ; particlelodlevel ; particlemodulelocationprimitivecylinder ; particlemodulerequired ; particlemodulespawn ; particlespriteemitter ; particlesystem,fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,,bfx_low_01.explosion.par_g_explosion_02.particlemodulerotation_8 ; fx_bs_01.trail.par_d_trail_07_1_loc_int.particlemodulecolorscaleoverlife_0 ; fx_bs_02.item.par_c_it_epic_003.particlemodulesizemultiplylife_18 ; fx_bs_04.state.par_u_fullswing_exp_dust_01.particlemodulesize_4 ; fx_bs_04.state.par_u_fullswing_exp_dust_01.particlemodulevelocity_0 ; fx_bs_05.prj.par_g_wind_prj_01.particlemodulelifetime_11 ; fx_bs_05.prj.par_g_wind_prj_01.particlemodulesubuv_0 ; fx_bs_05.prj.par_l_02484_exp_01.particlemodulevelocityoverlifetime_0 ; fx_bs_05.prj.par_l_chicken_prj_01.particlemodulecoloroverlife_6 ; fx_bs_08.buff.par_v_positive_memories_00.particlemodulespawn_33 ; fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,4,MN_RPCZ_00:4219726 ; MN_RPCZ_00:4219727 ; MN_RPCT_05:4219819 ; MN_RPCT_05:4219887,쿠크_훌라후프 액션A ; 쿠크_훌라후프 액션B ; 세이튼_회전하며 카드 날리기 ; 세이튼_회전하며 카드 날리기_리허설,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_CM_00.particle-graph.json
FX_CM_00,FX_CM_00.dust.par_d_dust_002_pr,FX_CM_00:export:8386,5,29,particlelodlevel ; particlemodulecoloroverlife ; particlemodulelocation ; particlemodulelocationprimitivecylinder ; particlemodulerequired ; particlemodulesize ; particlemodulevelocity ; particlespriteemitter ; particlesystem,fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,,bfx_low_01.explosion.par_g_explosion_02.particlemodulerotation_8 ; bfx_low_05.smoke.par_c_vehicleon_001.particlemodulespawn_4 ; bfx_low_05.smoke.par_c_vehicleon_001.particlemodulespawn_5 ; fx_bs_00.hit.par_d_prjdead_dirt_01.particlemodulevelocity_0 ; fx_bs_01.trail.par_d_trail_07_1_loc_int.particlemodulecolorscaleoverlife_0 ; fx_bs_02.item.par_c_it_epic_003.particlemodulesizemultiplylife_18 ; fx_bs_04.state.par_u_fullswing_exp_dust_01.particlemodulevelocity_0 ; fx_bs_05.prj.par_g_wind_prj_01.particlemodulelifetime_11 ; fx_bs_05.prj.par_g_wind_prj_01.particlemodulesubuv_0 ; fx_bs_05.prj.par_l_02484_exp_01.particlemodulevelocityoverlifetime_0 ; fx_m_mi_05.fx_m.fx_c_pa_aura_02_tr,3,MN_RPCT_05:4219870 ; MN_RPCT_07:4219928 ; MN_RPCT_07:4219957,세이튼_순간이동 공격 ; [사용안함]쿠크세이튼_접근해서 돌진 ; [사용안함]쿠크세이튼_순간이동 공격,C:\LostArkExtract\LV_LUT_MIDNIGHTC_ED_20260829\CanonicalSource\Effect\Graphs\LV_LUT_MIDNIGHTC_ED.particle-graph.json\FX_CM_00.particle-graph.json
