programLedgerId,sourceKind,candidateIdentity,sourceProgramCandidateIds,programEvidenceIds,programStatusCounts,publicAllocationStatus,publicProgramIds,publicLayoutIds,conquestStatus,priorityRank,priorityCode,equationReadiness,equationReady,backend,opcode,opcodeAllocation,dxbcSha256s,hlsliSha256s,functionNames,authoredOccurrenceCount,productOccurrenceCount,fourCharacterProductOccurrenceCount,valtanProductOccurrenceCount,domainOccurrenceCounts,carrierCounts,fineRendererKindCounts,renderProfileCounts,sourceProfileEnabledCounts,layoutStatusCounts,adapterStatusCounts,descriptorStatusCounts,blockerAxisCounts,blockerCounts,occurrenceProjectionSha256
material-program.15b344b8180f5ec76b535c8cce0d67b315b534488fbbb29246d83a7c996fea0a,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":6,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.11b4f35123b70b150215cefb2d0d122c2af450a1cca82c0836494c2e0402d75f""]","[""program-evidence.0a41c64b0b5cb4b813c7b411cb6f464924a3c481449113fd4dae58b4ceb64458""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":2}",PUBLIC_PROGRAM_ALLOCATED,"[""effect.program.runtime-material-v2.opcode-6.v1""]","[""effect.layout.runtime-material-v2.opcode-6.abi-3aafae1b4639c551.v1""]",RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,6,ALLOCATED,[],[],[],2,2,2,0,"{""Artist"":2}","{""SPRITE"":2}","{""SPRITE_PARTICLE"":2}","{""alpha_two_sided_depth_read"":2}","{""DISABLED"":2}","{""TYPED_PACKET_CLOSED"":2}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":2}","{""TYPED_VALUES_CLOSED"":2}","{""CARRIER"":4}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":2,""VERTEX_FACTORY_UNPROVEN"":2}",9af268bc0e95eb5b40479eed4c18e53266f6aea778b9b5cf79d42f80cc3d6721
material-program.357a328adb10ed55fa73c8ad75aa172881af6299325e3714fba823498fc25b97,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":13,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.36d0e7f0f71ceed7f4cf2274f60193f3768471ee27d74ceed117dbf7a6e3091c""]","[""program-evidence.c5103294d118581a4704855244e609ab85960248664f68787d5a37412c43b139""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":1}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,13,ALLOCATED,[],[],[],1,1,1,0,"{""Artist"":1}","{""SPRITE"":1}","{""SPRITE_PARTICLE"":1}","{""alpha_two_sided_depth_read"":1}","{""DISABLED"":1}","{""TYPED_PACKET_CLOSED"":1}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":1}","{""TYPED_VALUES_CLOSED"":1}","{""CARRIER"":2}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":1,""VERTEX_FACTORY_UNPROVEN"":1}",f3736da84988c7afab584eee501c18f85822c23f07d209a201107ee324158e46
material-program.421697d9463dcd50c7bf8eb1f1fa6844337d573a8d705c47602fda50a8a42b34,TYPED_RUNTIME_PROGRAM,"{""backend"":""artistVisualV4"",""opcode"":6,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.db8dcd4c2dc7522cdce1158261c0fc8022b2a3e84fb0c4aac2d291cdee2290d0""]","[""program-evidence.e908fa759bcce23290c9b1e6ea1fa9b240497a9e17c5de622c5fc178cffbf757""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":2}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,artistVisualV4,6,ALLOCATED,[],[],[],2,2,2,0,"{""Artist"":2}","{""SPRITE"":2}","{""SPRITE_PARTICLE"":2}","{""alpha_one_sided_depth_read"":2}","{""DISABLED"":2}","{""TYPED_PACKET_CLOSED"":2}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":2}","{""TYPED_VALUES_CLOSED"":2}","{""CARRIER"":4}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":2,""VERTEX_FACTORY_UNPROVEN"":2}",8d3bdf63835df3a0e7f1029ab0fed37fe630bdb40a9a569795612e147f34df2a
material-program.4765afa9bced174db37b593d8947774e2a4f1007ad7c29d91de8a2f9ffc4a7f3,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":21,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.afe4b86d3fda6c2e406652bc3a0243a3e3c93f71be21d57fa94df3fbb5cb1463""]","[""program-evidence.184a95c2ad01ca724dfc216694254a86aed03d9616616fe54e3a7633153d0488""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":2}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,21,ALLOCATED,[],[],[],2,2,2,0,"{""Artist"":2}","{""SPRITE"":2}","{""LEGACY_STANDALONE_SPRITE"":2}","{""alpha_two_sided_depth_read"":2}","{""DISABLED"":2}","{""TYPED_PACKET_CLOSED"":2}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":2}","{""TYPED_VALUES_CLOSED"":2}","{""CARRIER"":4}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":2,""VERTEX_FACTORY_UNPROVEN"":2}",c1a480ef2296ca6f0317b319fe26609c8ecfcec56513de659db47aaf93d8604a
material-program.56422948f14dd7c8bebdf168f1b2d6a3cfeb7f066e8583c1d873e9ab60125f59,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":3,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.03178e042d8cdf283e73221aa031a760ab3e06dfdb174775def7d89267dbc6d1""]","[""program-evidence.0a9aef105f3a0447a07c85e6e7625fb0af05c9711151b6661a0e231dae4aea93""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":1}",PUBLIC_PROGRAM_ALLOCATED,"[""effect.program.runtime-material-v2.opcode-3.v1""]","[""effect.layout.runtime-material-v2.opcode-3.abi-85c02e5f1f646d22.v1""]",RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,3,ALLOCATED,[],[],[],1,1,1,0,"{""Artist"":1}","{""MESH"":1}","{""MESH_PARTICLE"":1}","{""alpha_two_sided_depth_read"":1}","{""DISABLED"":1}","{""TYPED_PACKET_CLOSED"":1}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":1}","{""TYPED_VALUES_CLOSED"":1}","{""CARRIER"":3}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":1,""VERTEX_FACTORY_UNPROVEN"":1,""WPO_VERTEX_PROGRAM_UNPROVEN"":1}",8213d46e63ca8c40b0ab73cf138d9cb2f86e7b7e38d8068be4b0127c9bbec651
material-program.58badc24ba6f26bac5711c5b160472aee575e7b3a077a50ffc837d3dbcb29ebd,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":19,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.e61ac0b39fd7a79c199d778791176bb42c0c93cea615f7650166d49881768ba8""]","[""program-evidence.a8fcfedecfc259fc5830ce23cbda04b1690ffe8aabc6fb62331b89a04a9972d1""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":12}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,19,ALLOCATED,[],[],[],12,12,12,0,"{""LanceMaster"":12}","{""MESH"":12}","{""MESH_PARTICLE"":12}","{""alpha_one_sided_depth_read"":12}","{""DISABLED"":12}","{""TYPED_PACKET_CLOSED"":12}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":12}","{""TYPED_VALUES_CLOSED"":12}","{""CARRIER"":36}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":12,""VERTEX_FACTORY_UNPROVEN"":12,""WPO_VERTEX_PROGRAM_UNPROVEN"":12}",91e7297436a6b3257ed57f47d32069dd09d9c754f75eac12cbada05ac93e6762
material-program.602e287da8f5ded1828ca8383ff2b17194eb2322d8bf462d0e31351466bf8400,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":22,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.34ebe92eb6a21d294316cb44f6ac44fe336dcf26166517463b9c73c0fd3b002d""]","[""program-evidence.8bbd3c4c2d6c6f840c22346375d7634abc99e0a1aaa0026ed238ec46544f4dff""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":2}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,22,ALLOCATED,[],[],[],2,0,0,0,"{""Warlord"":2}","{""MESH"":2}","{""MESH_PARTICLE"":2}","{""additive_one_sided_depth_read"":2}","{""DISABLED"":2}","{""TYPED_PACKET_CLOSED"":2}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":2}","{""TYPED_VALUES_CLOSED"":2}","{""CARRIER"":6,""PRODUCT"":2}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":2,""PRODUCT_CONSUMER_ABSENT"":2,""VERTEX_FACTORY_UNPROVEN"":2,""WPO_VERTEX_PROGRAM_UNPROVEN"":2}",30e3b71fe2914ab56e6cb669167b2b59f6afcef7dba4f3e6baaf7ab041048ee7
material-program.6747d6ffdb67294c79d6213d0d69503c2eccfc78e80728f297cdd66d8c848ad4,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":18,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.367f0ba37e334652867578abaf42c24c180434efe999fd0778cff71ab0dfe9f8""]","[""program-evidence.fe7f3ae6bfce554ba7efa5e8b819e79a6aadd05f81c20c8495803653856f9e40""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":12}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,18,ALLOCATED,[],[],[],12,12,12,0,"{""Artist"":12}","{""SPRITE"":12}","{""SPRITE_PARTICLE"":12}","{""additive_two_sided_depth_read"":12}","{""DISABLED"":12}","{""TYPED_PACKET_CLOSED"":12}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":12}","{""TYPED_VALUES_CLOSED"":12}","{""CARRIER"":24}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":12,""VERTEX_FACTORY_UNPROVEN"":12}",fb3f7c89f36a6da5064dad17fcfc1d2112e6e78dc3c0efc95abf972ce70731f7
material-program.6e971d3c873202eb1cfb2a1d0cb3b8606c4b83fe24a29429df4ba31c2caa8bb7,TYPED_RUNTIME_PROGRAM,"{""backend"":""artistVisualV4"",""opcode"":1,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.4d52ac1b64ef406edbbff544d8814910abfda0d770ceec416fa6d2385acb62d7""]","[""program-evidence.a6c5fd6e488d76614d6c638c08fa1a70120b2c2d7cadb5e331dcc1900ad35b81""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":2}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,artistVisualV4,1,ALLOCATED,[],[],[],2,2,2,0,"{""Artist"":2}","{""MESH"":2}","{""MESH_PARTICLE"":2}","{""alpha_one_sided_depth_read"":2}","{""DISABLED"":2}","{""TYPED_PACKET_CLOSED"":2}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":2}","{""TYPED_VALUES_CLOSED"":2}","{""CARRIER"":6}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":2,""VERTEX_FACTORY_UNPROVEN"":2,""WPO_VERTEX_PROGRAM_UNPROVEN"":2}",6079cea60f75e98b1a6779f28bf0aafb1b5dd1d576f1a252bc711f649806fcd7
material-program.828c4ffa748cabd36431d5b273f55002b59f251a84ed0705dc8f264d32134f38,TYPED_RUNTIME_PROGRAM,"{""backend"":""runtimeMaterialV2"",""opcode"":20,""sourceKind"":""TYPED_RUNTIME_PROGRAM""}","[""program.acd645ea2fa9d52a9c9be4c72ca2414c903b248a7db2f77a6bff3fd6545c55a0""]","[""program-evidence.03163562095fb501e8ac90a718afa0a62a576ff9b345f8d30a2108a0dad3c861""]","{""TYPED_RUNTIME_PROGRAM_DECLARED"":1}",TYPED_OPCODE_ONLY_NOT_PUBLIC_PROGRAM,[],[],RUNTIME_PROGRAM_DECLARED_VERIFY_ADMISSION,0,P0_VERIFY_TYPED_RUNTIME_ADMISSION,TYPED_RUNTIME_EQUATION_DECLARED,TRUE,runtimeMaterialV2,20,ALLOCATED,[],[],[],1,1,1,0,"{""Artist"":1}","{""RIBBON"":1}","{""CASCADE_RIBBON"":1}","{""alpha_two_sided_depth_read"":1}","{""DISABLED"":1}","{""TYPED_PACKET_CLOSED"":1}","{""TYPED_STATIC_DISPATCH_CANDIDATE"":1}","{""TYPED_VALUES_CLOSED"":1}","{""CARRIER"":2}","{""COMPILED_DRAW_DISPATCH_UNPROVEN"":1,""VERTEX_FACTORY_UNPROVEN"":1}",e9c473da19971849d643923baf6a6304d33f3135b4372aeb2ccded5c31f7fdab
